BugName,Notes,TBar-time,TBar-10k,CURE-10k,SequenceR-50,Hercules-NFL,SimFix,fixminer,dlfix,acs,capgen-NFL,PAR,SOFix,PraPR,JAID,SketchFix,LSRepair,ssFix,NPEFix,Ratchet,Codit,AVATAR,CoCoNut,ARJA,GenProg,MutRepair,kPAR,RSRepair,Kali,Dynamoth,Nopol,Cardumen,VFix,iFixR,ConFix,Restore,HDRepair,,,file_no,class_no,method_no,line_no,add_line_no,del_line_no,mod_line_no,chunk_no,fail_test_no,action_no,pattern_no,First exception,add_char_no,del_char_no,node_match,insert_node,delete_node,update_node,move_tree,insert_tree,delete_tree
Clos 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,2,AssertionFailedError,20,16,1558,8,6,0,1,0,0
Clos 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,2,0,5,5,1,7,4,AssertionFailedError,79,91,8353,7,14,3,4,1,1
Clos 106,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6,4,2,0,3,4,4,3,AssertionFailedError,90,26,5880,6,9,0,2,2,0
Clos 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,1,1,2,AssertionFailedError,74,0,3427,3,3,0,0,1,0
Clos 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,3,0,1,4,1,4,3,IllegalStateException,158,5,2416,7,5,0,1,4,0
Clos 109,,2,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,1,1,5,4,0,1,1,2,5,4,AssertionFailedError,101,21,8774,6,4,1,1,2,0
Clos 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,25,21,0,4,12,2,12,8,AssertionFailedError,670,67,10766,18,12,2,6,5,0
Clos 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,1,1,3,2,AssertionFailedError,48,0,1035,5,0,0,1,1,0
Clos 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,9,6,0,3,1,2,6,1,AssertionFailedError,129,3,6493,5,2,0,1,2,0
Clos 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,1,0,0,1,1,1,2,2,AssertionFailedError,29,5,5011,4,2,0,1,1,0
Clos 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,2,AssertionFailedError,54,0,6720,4,3,0,1,1,0
Clos 115,,3,3,,,,,,3,,,,,,,,,3,,,,3,,3,3,,3,3,3,,,,,,,3,,,,1,1,1,11,0,11,0,2,7,5,2,AssertionFailedError,0,322,2899,2,2,0,0,0,3
Clos 116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,12,12,0,0,2,8,5,3,AssertionFailedError,346,0,2899,2,2,0,0,3,0
Clos 117,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,24,12,12,0,3,1,9,1,ComparisonFailure,279,279,3282,2,2,0,1,0,0
Clos 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,3,0,0,1,2,2,1,ComparisonFailure,39,0,4737,2,2,0,0,1,0
Clos 119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,1,1,0,0,1,1,1,2,AssertionFailedError,17,0,4634,5,5,0,0,1,0
Clos 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,3,1,AssertionFailedError,60,0,2306,2,2,0,0,1,0
Clos 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,0,1,2,1,2,2,AssertionFailedError,151,43,2718,5,5,0,0,1,0
Clos 122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,1,3,5,2,AssertionFailedError,102,88,5972,10,6,2,3,3,2
Clos 123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,3,4,ComparisonFailure,35,14,5154,44,45,0,0,1,0
Clos 124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,0,0,2,1,2,2,AssertionFailedError,27,0,685,2,0,0,1,1,0
Clos 125,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,1,0,0,1,1,1,2,2,IllegalStateException,33,5,7968,5,3,0,1,1,0
Clos 126,,3,2,3,,,,,3,,,,,3,3,3,,,,,,3,,3,3,,3,3,3,,,,,,,3,3,,,1,1,1,4,0,4,0,1,2,4,1,AssertionFailedError,0,119,949,0,0,0,0,0,1
Clos 127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,10,9,0,1,2,6,5,4,AssertionFailedError,274,12,770,2,0,0,1,2,0
Clos 128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,4,3,0,1,2,1,3,2,ComparisonFailure,36,6,5111,2,2,3,0,1,0
Clos 129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,3,2,AssertionFailedError,55,0,684,0,0,0,0,1,0
Clos 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,1,0,0,1,1,1,1,2,AssertionFailedError,35,16,3440,4,2,0,1,1,0
Clos 131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,2,2,2,2,AssertionFailedError,95,1,1440,7,3,0,3,2,0
Clos 132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,0,1,1,1,2,2,AssertionFailedError,115,28,6389,4,4,0,0,1,0
Clos 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,1,1,2,IllegalStateException,30,0,8253,4,4,0,0,1,0
Lang 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,11,9,0,2,3,1,6,4,NumberFormatException,289,5,4485,7,3,0,2,4,0
Lang 2,deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,4,1,AssertionFailedError,148,0,,,,,,,
Lang 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,4,1,1,2,AssertionFailedError,208,0,4473,7,3,0,2,2,0
Lang 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,0,0,4,4,1,5,2,AssertionFailedError,100,90,279,6,0,2,2,0,0
Lang 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,21,21,0,0,2,1,6,3,IllegalArgumentException,604,0,1107,5,3,0,5,2,0
Lang 6,,3,3,3,3,3,,,3,,3,,3,3,,3,,3,,,3,3,,,,,3,,,,,,,3,3,3,3,,,1,1,1,1,0,0,1,1,1,2,3,StringIndexOutOfBoundsException,5,6,364,0,0,1,0,0,0
Lang 7,,3,2,,,,,,3,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,1,2,6,3,3,0,3,1,6,3,AssertionFailedError,100,40,4333,7,4,0,2,1,1
Lang 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,2,0,3,2,5,3,AssertionFailedError,39,44,4071,4,6,0,1,1,2
Lang 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,2,4,1,AssertionFailedError,185,0,3221,3,3,0,0,1,0
Lang 10,,3,3,3,,,,3,,,,,,3,,,,,,,,3,3,,,,3,,,,,,,,,,3,,,1,1,1,9,0,9,0,2,2,4,1,AssertionFailedError,0,134,3221,3,3,0,0,0,3
Lang 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,1,1,4,2,AssertionFailedError,137,0,989,0,0,0,0,1,0
Lang 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,7,0,0,3,2,5,3,ArrayIndexOutOfBoundsException,162,0,960,2,0,0,1,3,0
Lang 13,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,19,19,0,0,4,1,8,4,SerializationException,581,0,689,2,0,0,1,11,0
Lang 14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,2,1,3,1,AssertionFailedError,154,0,19579,5,3,0,1,2,0
Lang 15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,0,0,4,2,2,4,2,AssertionFailedError,167,182,3518,5,13,7,8,0,2
Lang 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,2,NumberFormatException,71,22,4289,3,3,0,0,2,0
Lang 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,11,2,8,1,6,1,6,4,ComparisonFailure,39,105,358,1,8,0,3,1,5
Lang 18,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,2,2,1,2,1,3,2,ComparisonFailure,93,74,4875,3,3,2,0,1,1
Lang 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,9,6,0,3,5,2,9,5,StringIndexOutOfBoundsException,312,34,291,12,0,3,2,6,0
Lang 20,,1,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,1,1,2,2,0,0,2,2,2,4,3,NullPointerException,60,201,19593,3,18,4,6,0,3
Lang 21,,2,,,,,,,,,,,3,,,,3,3,,,3,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,3,4,AssertionFailedError,60,46,5205,3,3,2,0,0,0
Lang 22,,3,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,6,0,1,2,2,5,4,AssertionFailedError,180,4,3103,4,4,2,0,1,0
Lang 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,31,31,0,0,3,1,6,3,AssertionFailedError,655,0,1913,3,3,0,0,3,0
Lang 24,,3,3,,,3,,,,3,,,,,,,3,,,,,,,,,,3,,,,,,,3,3,,,,,1,1,1,1,0,0,1,1,1,1,2,AssertionFailedError,24,8,4272,3,3,0,0,1,0
Lang 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,27,0,0,27,1,1,1,2,AssertionFailedError,,,0,0,0,0,0,0,0
Lang 26,,3,3,3,,3,,,,,3,,,3,,,,,,,3,,3,,,,,,,,,,,,3,,,,,1,1,1,1,0,0,1,1,1,1,3,ComparisonFailure,38,29,5714,4,3,0,0,0,0
Lang 27,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,3,0,1,2,1,4,2,StringIndexOutOfBoundsException,126,7,4246,5,3,0,1,2,0
Lang 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,6,0,0,2,1,3,1,ComparisonFailure,118,0,215,2,0,0,1,2,0
Lang 29,,,,3,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,1,AssertionFailedError,3,5,3862,3,3,1,0,0,0
Lang 30,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,43,38,0,5,20,10,11,8,AssertionFailedError,916,192,16441,24,5,4,12,20,1
Lang 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,8,0,0,4,2,4,3,AssertionFailedError,258,0,16345,5,3,0,1,4,0
Lang 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,22,14,5,3,4,1,7,5,AssertionFailedError,340,154,2228,22,8,0,7,7,1
Lang 33,,3,3,,,3,3,,3,,,,,3,3,,,3,3,,,,3,,,,,,,,,,3,,,3,,,,1,1,1,1,0,0,1,1,1,1,3,NullPointerException,25,0,3512,5,3,0,1,1,0
Lang 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0,2,2,27,3,3,AssertionFailedError,27,81,6036,6,5,0,2,1,2
Lang 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0,2,2,1,4,1,ClassCastException,139,50,13511,9,12,2,2,0,1
Lang 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,9,8,0,1,2,2,3,2,NumberFormatException,229,30,4214,5,3,0,1,2,0
Lang 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,8,0,0,3,1,7,2,ArrayStoreException,278,0,13370,5,3,0,1,1,0
Lang 38,,,,3,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,1,1,0,0,1,1,1,2,ComparisonFailure,32,0,5709,3,3,0,0,1,0
Lang 39,,3,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,1,3,3,0,0,1,1,1,3,NullPointerException,68,0,15658,3,3,0,0,1,0
Lang 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,7,0,1,1,1,7,2,AssertionFailedError,162,53,15390,13,6,3,3,2,0
Lang 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,21,19,0,2,8,2,8,3,ComparisonFailure,665,9,3293,11,8,0,7,6,1
Lang 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,5,0,2,2,1,6,3,ComparisonFailure,153,18,0,0,0,0,0,0,0
Lang 43,,,,3,,3,3,,3,,3,,,,,,,3,,,,,,,3,,,,,,,,,,,,3,,,1,1,1,1,1,0,0,1,1,1,2,OutOfMemoryError,10,0,1844,3,3,0,0,1,0
Lang 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,4,1,StringIndexOutOfBoundsException,127,0,2053,4,4,0,0,1,0
Lang 45,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,3,2,StringIndexOutOfBoundsException,49,0,1747,3,3,0,0,1,0
Lang 46,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,3,,3,3,,,,,,,,,1,1,6,10,3,0,7,9,1,5,1,ComparisonFailure,180,57,2272,11,3,0,1,2,0
Lang 47,,3,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,2,6,6,0,0,2,2,2,3,NullPointerException,56,0,8674,3,3,0,0,2,0
Lang 48,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,2,1,3,1,AssertionFailedError,112,0,2578,5,3,0,1,2,0
Lang 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,4,2,AssertionFailedError,56,0,3072,4,4,0,0,1,0
Lang 50,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,12,2,6,4,6,2,8,5,AssertionFailedError,112,156,5645,3,7,0,4,0,2
Lang 51,,3,3,3,,,,,3,,,,3,,3,,3,,,,,,3,,,,,,,,,,,,3,3,3,,,1,1,1,1,1,0,0,1,1,1,1,StringIndexOutOfBoundsException,13,0,2260,3,3,0,0,1,0
Lang 52,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,1,1,2,1,ComparisonFailure,46,0,1775,6,3,0,1,2,0
Lang 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,2,2,0,4,1,0,3,AssertionFailedError,2,2,3089,3,3,0,2,0,0
Lang 54,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,4,2,IllegalArgumentException,79,0,1001,0,0,0,0,1,0
Lang 55,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,3,,,,,,3,,,,1,1,1,2,2,0,0,2,1,1,1,AssertionFailedError,41,0,639,2,0,0,1,1,0
Lang 56,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,4,0,2,3,1,4,2,SerializationException,139,0,5621,5,3,0,0,1,0
Lang 57,,3,3,3,,3,,3,3,,3,,,3,,,,,3,,,3,3,,,,,,,,,,3,3,3,,3,,,1,1,1,1,0,0,1,1,11,3,2,NullPointerException,39,37,1000,1,0,1,1,0,0
Lang 58,,2,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,1,1,1,1,1,1,NumberFormatException,52,70,4719,5,4,1,4,1,1
Lang 59,,3,3,3,3,3,,3,3,,3,,3,3,,3,,3,,,,3,3,,,,3,,,,,,,,,3,3,,,1,1,1,1,0,0,1,1,1,2,3,ArrayIndexOutOfBoundsException,6,7,7703,3,3,1,0,0,0
Lang 60,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0,2,2,1,2,2,AssertionFailedError,15,30,7699,4,5,0,0,1,0
Lang 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,2,2,4,AssertionFailedError,15,21,7697,7,4,0,1,0,0
Lang 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,8,0,0,4,1,2,3,ComparisonFailure,113,0,0,0,0,0,0,0,0
Lang 63,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,22,2,19,1,4,1,8,4,ComparisonFailure,99,780,2491,9,24,0,4,2,18
Lang 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,21,21,0,0,5,1,9,4,AssertionFailedError,662,0,343,0,0,0,0,3,0
Lang 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,30,30,0,0,8,1,5,4,AssertionFailedError,620,0,2902,5,3,0,1,12,0
Math 1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6,6,0,0,2,2,2,3,FractionConversionException,130,0,5774,6,6,0,0,2,0
Math 2,,,,3,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,2,AssertionFailedError,59,68,1049,5,7,0,5,0,0
Math 3,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,2,1,2,1,ArrayIndexOutOfBoundsException,35,0,6031,3,3,0,0,1,0
Math 4,,3,3,,,3,,3,,3,,,,,,,,,3,,,3,,,,,,,,,,,3,,,,,,,2,2,2,6,6,0,0,2,2,2,3,NullPointerException,62,0,1447,0,0,0,0,2,0
Math 5,,3,3,,,3,3,,3,3,3,,3,3,3,3,,,,,,,,,3,,,3,,,,,,,3,3,3,,,1,1,1,1,0,0,1,1,1,1,3,AssertionFailedError,4,4,3867,3,3,1,0,0,0
Math 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,18,2,4,12,17,28,8,6,AssertionFailedError,356,175,15126,26,24,10,10,2,5
Math 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,14,5,6,3,4,1,6,4,AssertionFailedError,196,261,1483,12,7,8,6,1,2
Math 8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0,2,2,1,3,1,ArrayStoreException,43,93,640,2,1,3,1,0,1
Math 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,1,1,4,2,AssertionFailedError,60,37,780,9,5,1,5,0,1
Math 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,1,2,2,AssertionFailedError,62,0,8493,3,3,0,0,1,0
Math 11,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,2,AssertionFailedError,11,9,849,3,3,0,2,0,0
Math 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,4,3,0,1,3,3,3,1,AssertionFailedError,111,15,664,0,0,0,0,3,0
Math 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,9,9,0,0,2,1,7,2,OutOfMemoryError,227,0,1766,9,7,0,4,2,0
Math 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,13,9,3,1,3,1,10,3,OutOfMemoryError,254,142,856,4,3,2,3,2,2
Math 15,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,1,1,2,1,0,1,2,1,3,2,AssertionFailedError,86,26,16997,3,3,2,0,1,0
Math 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,21,19,0,2,11,2,5,2,AssertionFailedError,432,0,16855,13,5,0,8,9,0
Math 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,2,1,3,1,AssertionFailedError,67,0,10011,5,3,0,1,2,0
Math 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,6,2,0,4,5,1,5,3,AssertionFailedError,121,55,6981,10,12,0,3,4,1
Math 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,13,13,0,0,1,1,7,2,Exception,361,0,6910,3,3,0,0,1,0
Math 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,1,1,4,3,AssertionFailedError,55,0,6863,4,3,0,1,2,0
Math 21,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,14,4,1,9,6,2,6,4,AssertionFailedError,256,120,599,13,15,13,9,4,1
Math 22,,3,,3,,,,3,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,3,,,2,2,2,2,0,0,2,2,2,1,1,AssertionFailedError,11,11,1242,0,0,2,0,0,0
Math 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,9,7,0,2,5,1,5,1,AssertionFailedError,121,33,1152,18,3,0,2,1,0
Math 24,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0,2,2,1,2,2,AssertionFailedError,66,16,1126,13,3,0,2,0,0
Math 25,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,2,1,3,1,AssertionFailedError,86,0,1087,3,3,0,0,1,0
Math 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0,2,2,1,2,2,AssertionFailedError,52,10,2190,12,3,0,3,3,0
Math 27,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,3,AssertionFailedError,20,28,2179,7,7,0,1,1,1
Math 28,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,4,1,2,1,MaxCountExceededException,95,0,811,4,0,0,5,2,0
Math 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,16,12,1,3,2,3,10,3,AssertionFailedError,367,130,3279,18,17,0,9,7,6
Math 30,,3,,3,3,3,,3,3,,3,,,,,,,3,,,3,,3,,,,,,,,,,,,3,,,,,1,1,1,1,0,0,1,1,1,1,1,AssertionFailedError,6,3,645,0,0,1,0,0,0
Math 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,34,1,21,12,4,2,11,6,ConvergenceException,125,786,445,13,60,21,17,0,18
Math 32,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,1,0,0,1,1,1,2,3,ClassCastException,35,10,2081,5,3,0,1,1,0
Math 33,,3,,,,3,3,3,3,,3,,3,3,,3,,3,,,,3,,,,,,,,,,,,,3,3,,,,1,1,1,1,0,0,1,1,1,2,3,AssertionFailedError,8,8,2441,2,2,1,0,0,0
Math 34,,3,,3,,3,,3,,,,,3,3,,,,,,,,,3,,,,,,,,,,,3,3,,3,,,1,1,1,1,0,0,1,1,1,2,3,AssertionFailedError,28,23,619,1,0,1,1,0,0
Math 35,,3,,,,3,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,1,2,2,0,0,2,2,4,3,3,AssertionFailedError,56,62,277,4,8,2,4,0,0
Math 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,12,12,0,0,4,2,4,3,AssertionFailedError,425,0,3406,3,3,0,0,2,0
Math 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,14,12,0,2,4,4,4,4,AssertionFailedError,287,14,3793,7,3,0,2,6,0
Math 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,0,0,4,3,1,3,4,BOBYQAOptimizer$PathIsExploredException,20,8,13765,12,6,0,2,0,2
